pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0040520,553 MOBILE ESTATES,MARQUETTE,50.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040520,553 MOBILE ESTATES,MARQUETTE,50.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,128.0,2018-12-31,0.0,N,2020-09-30 00:00:00,2018.0,12.0
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,128.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,128.0,2023-12-31,0.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000012,ADA TOWNSHIP,KENT,7155.0,2016-12-31,0.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0000012,ADA TOWNSHIP,KENT,6523.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000012,ADA TOWNSHIP,KENT,6523.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000012,ADA TOWNSHIP,KENT,7068.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000012,ADA TOWNSHIP,KENT,7068.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000012,ADA TOWNSHIP,KENT,7068.0,2023-12-31,0.0,N,2024-06-30 00:00:00,2023.0,12.0
MI0000012,ADA TOWNSHIP,KENT,7068.0,2024-06-30,0.0,N,2024-12-31 00:00:00,2024.0,6.0
MI0000020,ADAMS TOWNSHIP,HOUGHTON,2010.0,2017-12-31,2.0,N,2019-06-30 00:00:00,2017.0,12.0
MI0000020,ADAMS TOWNSHIP,HOUGHTON,2010.0,2019-06-30,1.0,N,2019-12-31 00:00:00,2019.0,6.0
