pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month,above_action_level,lead_value_count,system_name_count
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147,12/31/2019,3,N,9/30/2022 0:00,2019,12,FALSE,3,3
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147,12/31/2019,48,N,6/30/2020 0:00,2019,12,TRUE,3,3
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147,12/31/2019,0,N,9/30/2022 0:00,2019,12,FALSE,3,3
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147,12/31/2021,2,N,9/30/2024 0:00,2021,12,FALSE,2,2
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147,12/31/2021,0,N,9/30/2022 0:00,2021,12,FALSE,2,2
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147,12/31/2022,5,N,9/30/2025 0:00,2022,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147,12/31/2022,0,N,9/30/2023 0:00,2022,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147,12/31/2022,0,N,9/30/2025 0:00,2022,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147,12/31/2023,0,N,9/30/2025 0:00,2023,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147,12/31/2023,2,N,9/30/2024 0:00,2023,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147,12/31/2023,2,N,9/30/2026 0:00,2023,12,FALSE,2,3
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147,12/31/2023,0,N,9/30/2025 0:00,2023,12,FALSE,2,3
MI0000347,"BAIR LAKE BIBLE CAMP  (LODGE, WC, RVS)",CASS,372,12/31/2023,3,N,6/30/2024 0:00,2023,12,FALSE,4,5
MI0000347,BAIR LAKE BIBLE CAMP (LYDIA'S HOUSE),CASS,372,12/31/2023,0,N,6/30/2024 0:00,2023,12,FALSE,4,5
MI0000347,"BAIR LAKE BIBLE CAMP (PAC, CAPE COD)",CASS,372,12/31/2023,8,N,6/30/2024 0:00,2023,12,FALSE,4,5
MI0000347,"BAIR LAKE BIBLE CAMP (PV, CHALET)",CASS,372,12/31/2023,4,N,6/30/2024 0:00,2023,12,FALSE,4,5
MI0000347,"BAIR LAKE BIBLE CAMP (SUNRISE, CABINS)",CASS,372,12/31/2023,0,N,6/30/2024 0:00,2023,12,FALSE,4,5
MI0000347,BAIR LAKE BIBLE CAMP (DIST2),CASS,372,6/30/2024,0,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,BAIR LAKE BIBLE CAMP (DIST3),CASS,372,6/30/2024,3,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,BAIR LAKE BIBLE CAMP (DIST4),CASS,372,6/30/2024,2,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,BAIR LAKE BIBLE CAMP (DIST5),CASS,372,6/30/2024,3,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,BAIR LAKE BIBLE CAMP (DIST6),CASS,372,6/30/2024,0,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,"BAIR LAKE BIBLE CAMP (LODGE, WC, RVS)",CASS,372,6/30/2024,2,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,BAIR LAKE BIBLE CAMP (LYDIA'S HOUSE),CASS,372,6/30/2024,0,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,"BAIR LAKE BIBLE CAMP (PAC, CAPE COD)",CASS,372,6/30/2024,3,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,"BAIR LAKE BIBLE CAMP (PV, CHALET)",CASS,372,6/30/2024,3,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0000347,"BAIR LAKE BIBLE CAMP (SUNRISE, CABINS)",CASS,372,6/30/2024,0,N,9/30/2025 0:00,2024,6,FALSE,3,10
MI0001335,CHARLEVOIX TOWNSHIP (DIST),CHARLEVOIX,1700,12/31/2024,0,N,9/30/2027 0:00,2024,12,FALSE,2,2
MI0001335,CHARLEVOIX TOWNSHIP (DIST2),CHARLEVOIX,1700,12/31/2024,3,N,9/30/2027 0:00,2024,12,FALSE,2,2
MI0001650,COTTRELLVILLE TOWNSHIP (IRA TWP),ST. CLAIR,3200,6/30/2022,3,N,12/31/2022 0:00,2022,6,FALSE,2,2
