pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0000011   ,ACME TOWNSHIP - HOPE VILLAGE,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0000012   ,ADA TOWNSHIP,0.0,0.0,2431.0,0.0,2431.0,2431.0,complete,False
MI0000020   ,ADAMS TOWNSHIP,0.0,0.0,481.0,154.0,635.0,635.0,complete,False
MI0000030   ,ADDISON,0.0,0.0,118.0,,152.0,118.0,incomplete,False
MI0000040   ,ADRIAN,5.0,2280.0,3876.0,0.0,6161.0,6161.0,complete,False
MI0000045   ,BROOKDALE ADRIAN,0.0,0.0,152.0,0.0,152.0,152.0,complete,False
MI0000048   ,RICHLYN MANOR,0.0,0.0,95.0,0.0,95.0,95.0,complete,False
MI0000050   ,AHMEEK,0.0,9.0,98.0,0.0,107.0,107.0,complete,False
MI0000070   ,AKRON,0.0,0.0,202.0,0.0,202.0,202.0,complete,False
MI0000072   ,AKRON TOWNSHIP,0.0,0.0,98.0,0.0,98.0,98.0,complete,False
MI0000082   ,ALABASTER TOWNSHIP,0.0,0.0,45.0,0.0,45.0,45.0,complete,False
MI0000088   ,ALBEE TOWNSHIP,,0.0,203.0,0.0,203.0,203.0,incomplete,False
MI0000090   ,FORD FORESTRY CENTER,0.0,0.0,23.0,0.0,23.0,23.0,complete,False
MI0000100   ,ALBION,609.0,18.0,2142.0,0.0,2769.0,2769.0,complete,False
MI0000110   ,"ALGONAC, CITY OF",0.0,29.0,739.0,1059.0,1827.0,1827.0,complete,False
MI0000120   ,ALLEGAN,631.0,433.0,656.0,1.0,1721.0,1721.0,complete,False
MI0000125   ,ALLEGAN COUNTY SERVICES CENTER,0.0,0.0,8.0,0.0,8.0,8.0,complete,False
MI0000127   ,ALLENDALE TOWNSHIP,0.0,0.0,3790.0,0.0,3790.0,3790.0,complete,False
MI0000130   ,ALLEN PARK,236.0,0.0,11611.0,0.0,11847.0,11847.0,complete,False
MI0000140   ,"ALMA, CITY OF",0.0,115.0,2379.0,505.0,2999.0,2999.0,complete,False
MI0000150   ,"ALMONT, VILLAGE OF",0.0,0.0,1055.0,16.0,1071.0,1071.0,complete,False
MI0000160   ,"ALPENA, CITY OF",7.0,76.0,538.0,4022.0,4643.0,4643.0,complete,False
MI0000170   ,CHARTER TOWNSHIP OF ALPENA,0.0,0.0,2452.0,0.0,2452.0,2452.0,complete,False
MI0000180   ,ALPHA,3.0,9.0,96.0,18.0,126.0,126.0,complete,False
MI0000200   ,HEMATITE TOWNSHIP,0.0,0.0,,0.0,0.0,0.0,incomplete,False
MI0000210   ,ANDREWS UNIVERSITY,0.0,0.0,118.0,0.0,118.0,118.0,complete,False
MI0000215   ,ANDELINA FARMS,0.0,0.0,289.0,,289.0,289.0,incomplete,False
MI0000220   ,ANN ARBOR,0.0,471.0,25402.0,2.0,25875.0,25875.0,complete,False
MI0000221   ,ANN ARBOR TOWNSHIP,0.0,0.0,443.0,0.0,443.0,443.0,complete,False
MI0000236   ,ARBOR RIDGE CONDOMINIUMS,0.0,0.0,12.0,0.0,12.0,12.0,complete,False
MI0000240   ,"ARMADA, VILLAGE OF",151.0,3.0,459.0,0.0,613.0,613.0,complete,False
MI0000242   ,ARTESIAN SPRINGS RV RESORT,0.0,0.0,20.0,0.0,20.0,20.0,complete,False
