pwsid,supply_name,county,year,lines_replaced
MI0000040,ADRIAN,LENAWEE,2021,57
MI0000120,ALLEGAN,ALLEGAN,2021,12
MI0000130,ALLEN PARK,WAYNE,2021,8
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2021,7
MI0000160,"ALPENA, CITY OF",ALPENA,2021,25
MI0000220,ANN ARBOR,WASHTENAW,2021,112
MI0000245,ASH TOWNSHIP,MONROE,2021,2
MI0000260,ATHENS,CALHOUN,2021,1
MI0000320,AUGUSTA,KALAMAZOO,2021,7
MI0000430,BARTON HILLS,WASHTENAW,2021,2
MI0000450,BATTLE CREEK - VERONA SYSTEM,CALHOUN,2021,227
MI0000470,"BAY CITY, CITY OF",BAY,2021,278
MI0000560,BELDING,IONIA,2021,84
MI0000570,"BELLAIRE, VILLAGE OF",ANTRIM,2021,16
MI0000590,"BELLEVUE, VILLAGE OF",EATON,2021,2
MI0000600,BENTON HARBOR,BERRIEN,2021,191
MI0000605,BENTON CHARTER TOWNSHIP,BERRIEN,2021,1
MI0000630,BERKLEY,OAKLAND,2021,35
MI0000650,BERRIEN SPRINGS,BERRIEN,2021,5
MI0000660,BESSEMER,GOGEBIC,2021,17
MI0000710,BIG RAPIDS,MECOSTA,2021,49
MI0000730,BIRMINGHAM,OAKLAND,2021,216
MI0000750,BLISSFIELD,LENAWEE,2021,10
MI0000790,BLOOMFIELD TOWNSHIP,OAKLAND,2021,9
MI0000930,BROWN CITY,SANILAC,2021,5
MI0000940,BROWNSTOWN TOWNSHIP,WAYNE,2021,1
MI0001210,CASPIAN,IRON,2021,1
MI0001220,"CASS CITY, VILLAGE OF",TUSCOLA,2021,20
MI0001250,CASSOPOLIS,CASS,2021,2
MI0001290,"CENTER LINE, CITY OF",MACOMB,2021,2
MI0001300,"CENTRAL LAKE, VILLAGE OF",ANTRIM,2021,2
MI0001330,CHARLEVOIX,CHARLEVOIX,2021,1
MI0001340,"CHARLOTTE, CITY OF",EATON,2021,34
MI0001360,"CHEBOYGAN, CITY OF",CHEBOYGAN,2021,3
MI0001370,CHELSEA,WASHTENAW,2021,1
MI0001380,"CHESANING, VILLAGE OF",SAGINAW,2021,2
MI0001420,"CLARE, CITY OF",CLARE,2021,60
MI0001440,CLAWSON,OAKLAND,2021,5
MI0001470,CLINTON,LENAWEE,2021,5
MI0001480,CLINTON TOWNSHIP,MACOMB,2021,1
MI0001500,COLDWATER,BRANCH,2021,23
MI0001530,COLOMA,BERRIEN,2021,6
MI0001610,COOPERSVILLE,OTTAWA,2021,5
MI0001640,"CORUNNA, CITY OF",SHIAWASSEE,2021,2
MI0001730,DEARBORN,WAYNE,2021,328
MI0001750,DECATUR,VAN BUREN,2021,6
MI0001800,DETROIT CITY OF,WAYNE,2021,204
MI0001840,OSCEOLA TOWNSHIP,HOUGHTON,2021,8
MI0001860,DOWAGIAC,CASS,2021,3
MI0001880,DUNDEE,MONROE,2021,1
MI0001900,"DURAND, CITY OF",SHIAWASSEE,2021,27
MI0001950,"EASTPOINTE, CITY OF",MACOMB,2021,182
MI0001960,EAST GRAND RAPIDS,KENT,2021,65
MI0001970,"EAST JORDAN, CITY OF",CHARLEVOIX,2021,9
MI0001980,BREITUNG TWP.-EAST KINGSFORD,DICKINSON,2021,4
MI0001990,"EAST LANSING, CITY OF",INGHAM,2021,38
MI0002020,"EATON RAPIDS, CITY OF",EATON,2021,7
MI0002050,ECORSE,WAYNE,2021,54
MI0002070,EDMORE,MONTCALM,2021,1
MI0002125,EMMETT TOWNSHIP,CALHOUN,2021,39
MI0002170,ESCANABA,DELTA,2021,87
MI0002180,"ESSEXVILLE, CITY OF",BAY,2021,103
MI0002190,"EVART, CITY OF",OSCEOLA,2021,42
MI0002230,"FARMINGTON, CITY OF",OAKLAND,2021,10
MI0002260,FENNVILLE,ALLEGAN,2021,10
MI0002270,"FENTON, CITY OF",GENESEE,2021,90
MI0002280,FERNDALE,OAKLAND,2021,555
MI0002310,"FLINT, CITY OF",GENESEE,2021,214
MI0002350,FORD RIVER TOWNSHIP,DELTA,2021,1
MI0002430,"FRANKFORT, CITY OF",BENZIE,2021,38
MI0002480,FREEPORT,BARRY,2021,1
MI0002490,FREMONT,NEWAYGO,2021,10
MI0002550,GARDEN CITY,WAYNE,2021,7
MI0002600,"GAYLORD, CITY OF",OTSEGO,2021,5
MI0002630,GIBRALTAR,WAYNE,2021,1
MI0002640,GLADSTONE,DELTA,2021,11
MI0002680,GOBLES,VAN BUREN,2021,2
MI0002750,GRAND HAVEN,OTTAWA,2021,10
MI0002770,"GRAND LEDGE, CITY OF",EATON,2021,7
MI0002790,GRAND RAPIDS,KENT,2021,640
MI0002840,"GRAYLING, CITY OF",CRAWFORD,2021,1
MI0002850,GREENVILLE,MONTCALM,2021,20
MI0002870,GROSSE ILE TOWNSHIP,WAYNE,2021,3
MI0002880,"GROSSE POINTE, CITY OF",WAYNE,2021,24
MI0002890,GROSSE POINTE FARMS,WAYNE,2021,14
MI0002900,GROSSE POINTE PARK,WAYNE,2021,2
MI0002920,GROSSE POINTE WOODS,WAYNE,2021,3
MI0002960,HAMPTON TOWNSHIP,BAY,2021,6
MI0002970,HAMTRAMCK,WAYNE,2021,179
MI0003020,HARPER WOODS,WAYNE,2021,8
MI0003060,HART,OCEANA,2021,5
MI0003090,HASTINGS,BARRY,2021,9
MI0003100,HAZEL PARK,OAKLAND,2021,32
MI0003130,HESPERIA,NEWAYGO,2021,3
MI0003140,HIGHLAND PARK,WAYNE,2021,59
MI0003170,HILLSDALE,HILLSDALE,2021,49
MI0003190,HOLLAND BOARD OF PUBLIC WORKS,OTTAWA,2021,71
MI0003250,"HOWELL, CITY OF",LIVINGSTON,2021,23
MI0003310,HUNTINGTON WOODS,OAKLAND,2021,27
MI0003340,"IMLAY CITY, CITY OF",LAPEER,2021,3
MI0003360,INKSTER,WAYNE,2021,67
MI0003390,IRA TOWNSHIP,ST. CLAIR,2021,6
MI0003400,IRON MOUNTAIN,DICKINSON,2021,53
MI0003410,IRON RIVER,IRON,2021,11
MI0003420,IRONWOOD,GOGEBIC,2021,79
MI0003430,IRONWOOD TOWNSHIP,GOGEBIC,2021,1
MI0003470,JACKSON,JACKSON,2021,338
MI0003490,JONESVILLE,HILLSDALE,2021,2
MI0003520,KALAMAZOO,KALAMAZOO,2021,940
MI0003640,KINGSFORD,DICKINSON,2021,10
MI0003650,"KINGSLEY, VILLAGE OF",GRAND TRAVERSE,2021,2
MI0003670,L'ANSE,BARAGA,2021,18
MI0003700,"LAKE CITY, CITY OF",MISSAUKEE,2021,20
MI0003740,"LAKE ORION, VILLAGE OF",OAKLAND,2021,25
MI0003750,LAKEVIEW,MONTCALM,2021,8
MI0003780,"LAPEER, CITY OF",LAPEER,2021,1
MI0003800,LATHRUP VILLAGE,OAKLAND,2021,16
MI0003820,LAWRENCE,VAN BUREN,2021,1
