base_pwsid,system_name,resolved_pwsid,assignment_status
MI0000324,AUSABLE VALLEY COMMUNITY (DS002),MI0000324-e,assigned_new
MI0000324,AUSABLE VALLEY COMMUNITY (DS001),MI0000324-f,assigned_new
MI0000324,AUSABLE VALLEY COMMUNITY (DS003),MI0000324-g,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS003),MI0000347-l,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS004),MI0000347-m,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS002),MI0000347-n,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS006),MI0000347-o,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS005),MI0000347-p,assigned_new
MI0001335,CHARLEVOIX TOWNSHIP (DS001),MI0001335-d,assigned_new
MI0001335,CHARLEVOIX TOWNSHIP (DS002),MI0001335-e,assigned_new
MI0001535,COLOMA CHARTER TOWNSHIP,MI0001535-a,assigned_new
MI0001650,COTTRELLVILLE TOWNSHIP (DS001),MI0001650-f,assigned_new
MI0001650,COTTRELLVILLE TOWNSHIP (DS002),MI0001650-g,assigned_new
MI0001765,DEEPWATER POINTE MASTER ASSOCIATION,MI0001765-a,assigned_new
MI0001840,OSCEOLA TOWNSHIP (DS001),MI0001840-f,assigned_new
MI0001840,OSCEOLA TOWNSHIP (DS002),MI0001840-g,assigned_new
MI0001970,"EAST JORDAN, CITY OF (DS001)",MI0001970-e,assigned_new
MI0001970,"EAST JORDAN, CITY OF (DS002)",MI0001970-f,assigned_new
MI0002000,"PINE KNOLL APARTMENTS, LLC (DS002)",MI0002000-e,assigned_new
MI0002000,"PINE KNOLL APARTMENTS, LLC (DS001)",MI0002000-f,assigned_new
MI0002292,EASTERN MI DISTRICT CHURCH OF NAZARENE,MI0002292-a,assigned_new
MI0002657,GLEN OAKS COMMUNITY COLLEGE (DS001),MI0002657-f,assigned_new
MI0002657,GLEN OAKS COMMUNITY COLLEGE (DS002),MI0002657-g,assigned_new
MI0003323,HURON TOWNSHIP (HURON COUNTY),MI0003323-a,assigned_new
MI0003330,PORTAGE TOWNSHIP (DS001),MI0003330-f,assigned_new
MI0003330,PORTAGE TOWNSHIP (DS002),MI0003330-g,assigned_new
MI0003838,LEE TOWNSHIP,MI0003838-a,assigned_new
MI0003857,DIVINE LIFE OF DEWITT,MI0003857-c,assigned_new
MI0004140,MARQUETTE TOWNSHIP (DS001),MI0004140-f,assigned_new
MI0004140,MARQUETTE TOWNSHIP (DS002),MI0004140-g,assigned_new
MI0004150,MARSHALL (DS001),MI0004150-a,assigned_new
MI0004173,RAPID RIVER HOUSING COMMISSION,MI0004173-a,assigned_new
MI0004340,MICHIGAN STATE UNIVERSITY (DS001),MI0004340-d,assigned_new
MI0004340,MICHIGAN STATE UNIVERSITY (DS002),MI0004340-e,assigned_new
MI0004353,MICHINDOH CONFERENCE CENTER (DS001),MI0004353-a,assigned_new
MI0004353,MICHINDOH CONFERENCE CENTER (DS002),MI0004353-b,assigned_new
MI0004740,NILES (DS001),MI0004740-g,assigned_new
MI0004740,NILES (DS002),MI0004740-h,assigned_new
MI0004750,NILES TOWNSHIP (DS001),MI0004750-d,assigned_new
MI0004750,NILES TOWNSHIP (DS002),MI0004750-e,assigned_new
MI0004873,STREAMS OF LIGHT INTERNATIONAL,MI0004873-a,assigned_new
MI0004877,SOUTHEAST OAKLAND TOWNSHIP (DS001),MI0004877-f,assigned_new
MI0004877,SOUTHEAST OAKLAND TOWNSHIP (DS002),MI0004877-g,assigned_new
MI0005209,PAW PAW APTS - WEST MAPLE LAKE  (DS001),MI0005209-e,assigned_new
MI0005209,PAW PAW APTS - WEST MAPLE LAKE (DS002),MI0005209-f,assigned_new
MI0005692,RIVERBROOKE HOMEOWNERS ASSOCIATION,MI0005692-a,assigned_new
MI0005780,"ROMEO, VILLAGE OF  (DS001)",MI0005780-f,assigned_new
MI0005780,"ROMEO, VILLAGE OF (DS003)",MI0005780-g,assigned_new
MI0006290,ST. IGNACE,MI0006290-a,assigned_new
MI0006325,ST. LOUIS CENTER (DS001),MI0006325-f,assigned_new
MI0006325,ST. LOUIS CENTER (DS002),MI0006325-g,assigned_new
MI0006377,PINE LAKE APARTMENTS,MI0006377-a,assigned_new
MI0006490,SUPERIOR TOWNSHIP (DS001),MI0006490-f,assigned_new
MI0006490,SUPERIOR TOWNSHIP (DS002),MI0006490-g,assigned_new
MI0007065,WHITE LAKE TOWNSHIP (DS001),MI0007065-f,assigned_new
MI0007065,WHITE LAKE TOWNSHIP (DS002),MI0007065-g,assigned_new
MI0007126,WINDJAMMER COVE COMMUNITY SYSTEM BOARD,MI0007126-a,assigned_new
MI0007185,WOODRUFF LAKE COOPERATIVE (DS001),MI0007185-e,assigned_new
MI0007185,WOODRUFF LAKE COOPERATIVE (DS002),MI0007185-f,assigned_new
MI0040144,"PONEMAH LAKESIDE RETREAT, LLC",MI0040144-a,assigned_new
MI0040181,STATE ROAD COUNTRY LIVING MHC,MI0040181-a,assigned_new
MI0040501,WOLF LAKE ESTATES,MI0040501-a,assigned_new
MI0040615,BUEL HILL ESTATES (DBA EAGLES LANDING),MI0040615-c,assigned_new
MI0062658,INTERSECT HEALTHCARE,MI0062658-c,assigned_new
MI0066695,THE PINES OF GOODRICH (DS001),MI0066695-f,assigned_new
