base_pwsid,system_name,resolved_pwsid,assignment_status
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,MI0000011,reused_existing
MI0000012,ADA TOWNSHIP,MI0000012,reused_existing
MI0000020,ADAMS TOWNSHIP,MI0000020,reused_existing
MI0000030,ADDISON,MI0000030,reused_existing
MI0000040,ADRIAN,MI0000040,reused_existing
MI0000045,BROOKDALE ADRIAN,MI0000045,reused_existing
MI0000048,RICHLYN MANOR,MI0000048,reused_existing
MI0000050,AHMEEK,MI0000050,reused_existing
MI0000070,AKRON,MI0000070,reused_existing
MI0000072,AKRON TOWNSHIP,MI0000072,reused_existing
MI0000082,ALABASTER TOWNSHIP,MI0000082,reused_existing
MI0000088,ALBEE TOWNSHIP,MI0000088,reused_existing
MI0000090,FORD FORESTRY CENTER,MI0000090,reused_existing
MI0000100,ALBION,MI0000100,reused_existing
MI0000110,"ALGONAC, CITY OF",MI0000110,reused_existing
MI0000120,ALLEGAN,MI0000120,reused_existing
MI0000125,ALLEGAN COUNTY SERVICES CENTER,MI0000125,reused_existing
MI0000127,ALLENDALE TOWNSHIP,MI0000127,reused_existing
MI0000130,ALLEN PARK,MI0000130,reused_existing
MI0000140,"ALMA, CITY OF",MI0000140,reused_existing
MI0000150,"ALMONT, VILLAGE OF",MI0000150,reused_existing
MI0000160,"ALPENA, CITY OF",MI0000160,reused_existing
MI0000170,CHARTER TOWNSHIP OF ALPENA,MI0000170-b,reused_existing
MI0000180,ALPHA,MI0000180,reused_existing
MI0000200,HEMATITE TOWNSHIP,MI0000200,reused_existing
MI0000210,ANDREWS UNIVERSITY,MI0000210,reused_existing
MI0000215,ANDELINA FARMS,MI0000215,reused_existing
MI0000220,ANN ARBOR,MI0000220,reused_existing
MI0000221,ANN ARBOR TOWNSHIP,MI0000221,reused_existing
MI0000236,ARBOR RIDGE CONDOMINIUMS,MI0000236,reused_existing
MI0000240,"ARMADA, VILLAGE OF",MI0000240,reused_existing
MI0000242,ARTESIAN SPRINGS RV RESORT,MI0000242,reused_existing
MI0000245,ASH TOWNSHIP,MI0000245,reused_existing
MI0000250,"ASHLEY, VILLAGE OF",MI0000250,reused_existing
MI0000260,ATHENS,MI0000260,reused_existing
MI0000280,"AU GRES, CITY OF",MI0000280,reused_existing
MI0000285,AU GRES TOWNSHIP,MI0000285,reused_existing
MI0000290,AU SABLE TOWNSHIP,MI0000290,reused_existing
MI0000300,AUBURN,MI0000300,reused_existing
MI0000320,AUGUSTA,MI0000320,reused_existing
MI0000321,AUGUSTA TOWNSHIP,MI0000321,reused_existing
MI0000322,AUSTIN COMMONS II,MI0000322,reused_existing
MI0000324,AUSABLE VALLEY COMMUNITY (DS002),MI0000324-e,assigned_new
MI0000324,AUSABLE VALLEY COMMUNITY (DS001),MI0000324-f,assigned_new
MI0000324,AUSABLE VALLEY COMMUNITY (DS003),MI0000324-g,assigned_new
MI0000325,ROCHESTER HILLS,MI0000325,reused_existing
MI0000340,BAD AXE,MI0000340,reused_existing
MI0000347,BAIR LAKE BIBLE CAMP (DS003),MI0000347-l,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS004),MI0000347-m,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS002),MI0000347-n,assigned_new
MI0000347,BAIR LAKE BIBLE CAMP (DS006),MI0000347-o,assigned_new
