base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0000011,MI0000011,ACME TOWNSHIP - HOPE VILLAGE,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,2018-12-31,2018,0.0,False,,2025.0,,,,,
MI0000011,MI0000011,ACME TOWNSHIP - HOPE VILLAGE,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000011,MI0000011,ACME TOWNSHIP - HOPE VILLAGE,ACME TOWNSHIP - HOPE VILLAGE,GRAND TRAVERSE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2016-12-31,2016,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2024-06-30,2024,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0000012,MI0000012,ADA TOWNSHIP,ADA TOWNSHIP,KENT,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000020,MI0000020,ADAMS TOWNSHIP,ADAMS TOWNSHIP,HOUGHTON,2017-12-31,2017,2.0,False,,2025.0,,,,,
MI0000020,MI0000020,ADAMS TOWNSHIP,ADAMS TOWNSHIP,HOUGHTON,2019-06-30,2019,1.0,False,,2025.0,,,,,
MI0000020,MI0000020,ADAMS TOWNSHIP,ADAMS TOWNSHIP,HOUGHTON,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000020,MI0000020,ADAMS TOWNSHIP,ADAMS TOWNSHIP,HOUGHTON,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0000020,MI0000020,ADAMS TOWNSHIP,ADAMS TOWNSHIP,HOUGHTON,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,154.0,154.0,True
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2018-12-31,2018,6.0,False,,2025.0,,,,,
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2021-12-31,2021,3.0,False,,2025.0,,,,,
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2022-12-31,2022,4.0,False,,2025.0,,,,,
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000040,MI0000040,ADRIAN,ADRIAN,LENAWEE,2017-12-31,2017,0.0,False,,2025.0,,,,,
MI0000040,MI0000040,ADRIAN,ADRIAN,LENAWEE,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000040,MI0000040,ADRIAN,ADRIAN,LENAWEE,2023-12-31,2023,0.0,False,58.0,2025.0,,,,,
MI0000045,MI0000045,BROOKDALE ADRIAN,BROOKDALE ADRIAN,LENAWEE,2016-12-31,2016,13.0,True,,2025.0,,,,,
MI0000045,MI0000045,BROOKDALE ADRIAN,BROOKDALE ADRIAN,LENAWEE,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000045,MI0000045,BROOKDALE ADRIAN,BROOKDALE ADRIAN,LENAWEE,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000045,MI0000045,BROOKDALE ADRIAN,BROOKDALE ADRIAN,LENAWEE,2025-12-31,2025,2.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000048,MI0000048,RICHLYN MANOR,RICHLYN MANOR,LENAWEE,2016-12-31,2016,0.0,False,,2025.0,,,,,
MI0000048,MI0000048,RICHLYN MANOR,RICHLYN MANOR,LENAWEE,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000048,MI0000048,RICHLYN MANOR,RICHLYN MANOR,LENAWEE,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000048,MI0000048,RICHLYN MANOR,RICHLYN MANOR,LENAWEE,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000050,MI0000050,AHMEEK,AHMEEK,KEWEENAW,2019-06-30,2019,1.0,False,,2025.0,,,,,
MI0000050,MI0000050,AHMEEK,AHMEEK,KEWEENAW,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000050,MI0000050,AHMEEK,AHMEEK,KEWEENAW,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000050,MI0000050,AHMEEK,AHMEEK,KEWEENAW,2025-12-31,2025,1.0,False,,2025.0,0.0,9.0,0.0,9.0,True
MI0000070,MI0000070,AKRON,AKRON,TUSCOLA,2016-12-31,2016,5.0,False,,2025.0,,,,,
MI0000070,MI0000070,AKRON,AKRON,TUSCOLA,2019-12-31,2019,2.0,False,,2025.0,,,,,
MI0000070,MI0000070,AKRON,AKRON,TUSCOLA,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0000070,MI0000070,AKRON,AKRON,TUSCOLA,2025-12-31,2025,1.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2019-06-30,2019,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2018-12-31,2018,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2019-06-30,2019,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2016-12-31,2016,2.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2020-12-31,2020,0.0,False,,2025.0,,,,,
